Channel,net counts,Counts(w),Counts(wo),N=2
684,5,149,72,
685,6,130,62,
686,21,131,55,
687,7,133,63,
688,-22,120,71,
689,22,152,65,
690,-19,117,68,
691,0,128,64,
692,11,129,59,
693,14,140,63,
694,56,150,47,
695,2,128,63,
696,-1,137,69,
697,58,156,49,
698,50,144,47,
699,18,128,55,
700,44,132,44,
701,53,165,56,
702,33,157,62,
703,8,128,60,
704,37,143,53,
705,17,121,52,
706,5,153,74,
707,7,109,51,
708,-7,113,60,
709,34,152,59,
710,20,148,64,
711,29,141,56,
712,-5,127,66,
713,16,142,63,
714,2,144,71,
715,50,150,50,
716,6,124,59,
717,39,143,52,
718,7,141,67,
719,27,133,53,
720,30,136,53,
721,13,141,64,
722,38,138,50,
723,59,147,44,
724,2,138,68,
725,31,151,60,
726,22,126,52,
727,23,147,62,
728,56,142,43,
729,29,145,58,
730,35,137,51,
731,73,161,44,
732,-3,123,63,
733,44,162,59,
734,45,145,50,
735,2,132,65,
736,32,142,55,
737,6,136,65,
738,25,145,60,
739,54,150,48,
740,29,163,67,
741,37,167,65,
742,47,139,46,
743,75,171,48,
744,73,163,45,
745,76,180,52,
746,23,149,63,
747,-5,139,72,
748,65,191,63,
749,88,194,53,
750,70,184,57,
751,61,193,66,
752,81,189,54,
753,92,214,61,
754,64,184,60,
755,99,215,58,
756,48,180,66,
757,52,202,75,
758,60,194,67,
759,34,190,78,
760,68,212,72,
761,108,260,76,
762,129,241,56,
763,85,215,65,
764,86,220,67,
765,103,229,63,
766,80,228,74,
767,137,279,71,
768,87,227,70,
769,114,268,77,
770,158,288,65,
771,104,242,69,
772,117,271,77,
773,171,341,85,
774,176,316,70,
775,134,308,87,
776,97,311,107,
777,116,302,93,
778,151,315,82,
779,191,339,74,
780,148,348,100,
781,158,370,106,
782,205,389,92,
783,190,372,91,
784,181,399,109,
785,208,416,104,
786,215,393,89,
787,264,448,92,
788,210,444,117,
789,203,431,114,
790,240,454,107,
791,201,417,108,
792,238,450,106,
793,207,417,105,
794,254,466,106,
795,251,511,130,
796,210,532,161,
797,268,516,124,
798,221,497,138,
799,243,507,132,
800,225,473,124,
801,191,499,154,
802,254,538,142,
803,232,570,169,
804,241,551,155,
805,255,563,154,
806,201,537,168,
807,259,577,159,
808,166,534,184,
809,262,620,179,
810,267,567,150,
811,296,622,163,
812,232,608,188,
813,305,655,175,
814,267,637,185,
815,281,685,202,
816,253,623,185,
817,257,643,193,
818,300,646,173,
819,208,632,212,
820,248,658,205,
821,258,616,179,
822,260,666,203,
823,293,657,182,
824,279,661,191,
825,181,637,228,
826,232,640,204,
827,259,649,195,
828,252,672,210,
829,242,678,218,
830,279,671,196,
831,231,667,218,
832,164,596,216,
833,214,660,223,
834,274,634,180,
835,184,584,200,
836,235,615,190,
837,229,649,210,
838,186,604,209,
839,207,597,195,
840,178,600,211,
841,168,602,217,
842,140,568,214,
843,117,541,212,
844,182,580,199,
845,178,588,205,
846,127,527,200,
847,140,554,207,
848,126,566,220,
849,121,517,198,
850,139,499,180,
851,151,535,192,
852,109,485,188,
853,89,463,187,
854,110,472,181,
855,98,432,167,
856,2,394,196,
857,93,417,162,
858,133,401,134,
859,51,429,189,
860,125,413,144,
861,121,399,139,
862,77,381,152,
863,118,372,127,
864,38,328,145,
865,112,364,126,
866,52,336,142,
867,68,322,127,
868,36,276,120,
869,27,285,129,
870,80,292,106,
871,53,267,107,
872,49,257,104,
873,75,269,97,
874,73,259,93,
875,69,229,80,
876,53,237,92,
877,32,222,95,
878,60,224,82,
879,54,182,64,
880,3,175,86,
881,35,187,76,
882,22,152,65,
883,-13,145,79,
884,37,155,59,
885,49,147,49,
886,-11,115,63,
887,13,135,61,
888,-11,97,54,
889,28,116,44,
890,-6,82,44,
891,-5,87,46,
892,3,97,47,
893,4,94,45,
894,13,81,34,
895,-9,67,38,
896,11,73,31,
897,9,79,35,
898,25,69,22,
899,17,57,20,
900,-5,49,27,
901,25,55,15,
902,-16,58,37,
903,-2,38,20,
904,6,34,14,
905,22,42,10,
906,4,40,18,
907,-8,34,21,
908,11,31,10,
909,-15,27,21,
910,11,27,8,
911,11,31,10,
912,-7,15,11,
913,0,22,11,
914,-18,14,16,
915,4,12,4,
916,-5,9,7,
917,11,25,7,
918,2,16,7,
919,5,19,7,
920,-12,10,11,
921,-1,11,6,
922,6,14,4,
923,1,9,4,
924,2,10,4,
925,7,15,4,
926,13,13,0,
927,0,4,2,
928,-2,4,3,
929,3,5,1,
930,0,4,2,
931,-3,3,3,
932,0,4,2,
933,0,4,2,
934,2,4,1,
935,1,3,1,
936,-1,3,2,
937,-4,2,3,
938,-4,4,4,
939,-1,5,3,
940,0,2,1,
941,1,5,2,
942,3,5,1,
943,-1,5,3,
944,8,8,0,
945,1,3,1,
946,7,7,0,
947,2,4,1,
948,-2,2,2,
949,3,5,1,
950,0,2,1,
951,-1,1,1,
952,0,4,2,
953,0,4,2,
954,1,5,2,
955,-4,2,3,
956,0,2,1,
957,0,0,0,
958,1,5,2,
959,0,0,0,
960,2,2,0,
961,0,4,2,
962,0,2,1,
963,5,5,0,
964,8,8,0,
965,-5,3,4,
966,4,6,1,
967,6,6,0,
968,-2,2,2,
969,4,8,2,
970,4,4,0,
971,-1,3,2,
972,-5,1,3,
973,1,3,1,
974,2,4,1,
