Channel,net counts,counts(w),counts(wo),N=1
465,22,48,26,
466,16,48,32,
467,28,63,35,
468,7,53,46,
469,6,56,50,
470,9,46,37,
471,5,49,44,
472,-17,37,54,
473,18,64,46,
474,16,53,37,
475,10,54,44,
476,12,54,42,
477,10,59,49,
478,-4,36,40,
479,13,55,42,
480,6,44,38,
481,-7,36,43,
482,5,48,43,
483,11,48,37,
484,18,53,35,
485,8,50,42,
486,-1,46,47,
487,17,48,31,
488,7,46,39,
489,4,50,46,
490,3,45,42,
491,8,52,44,
492,-11,42,53,
493,0,52,52,
494,8,40,32,
495,9,50,41,
496,21,59,38,
497,26,52,26,
498,-1,43,44,
499,-1,38,39,
500,-5,43,48,
501,11,51,40,
502,3,51,48,
503,3,49,46,
504,-2,38,40,
505,0,37,37,
506,6,54,48,
507,6,52,46,
508,-2,49,51,
509,-4,45,49,
510,28,68,40,
511,10,54,44,
512,8,43,35,
513,0,51,51,
514,11,47,36,
515,16,59,43,
516,18,61,43,
517,-7,43,50,
518,2,53,51,
519,1,44,43,
520,4,54,50,
521,17,56,39,
522,17,70,53,
523,10,58,48,
524,7,57,50,
525,-2,62,64,
526,3,52,49,
527,-4,51,55,
528,-5,54,59,
529,-3,45,48,
530,-15,41,56,
531,9,59,50,
532,11,53,42,
533,12,59,47,
534,24,70,46,
535,3,57,54,
536,-16,40,56,
537,6,72,66,
538,-8,53,61,
539,13,64,51,
540,-21,45,66,
541,10,54,44,
542,-16,41,57,
543,-1,46,47,
544,17,63,46,
545,2,61,59,
546,-12,54,66,
547,16,62,46,
548,15,63,48,
549,2,63,61,
550,2,60,58,
551,-8,55,63,
552,7,42,35,
553,-8,39,47,
554,9,62,53,
555,15,60,45,
556,0,47,47,
557,13,68,55,
558,12,58,46,
559,-18,39,57,
560,3,48,45,
561,2,51,49,
562,13,56,43,
563,2,57,55,
564,0,46,46,
565,-7,40,47,
566,-4,42,46,
567,-6,47,53,
568,11,50,39,
569,-9,39,48,
570,2,37,35,
571,-7,33,40,
572,5,54,49,
573,-1,41,42,
574,4,34,30,
575,5,38,33,
576,-10,37,47,
577,-10,36,46,
578,1,52,51,
579,33,58,25,
580,-5,27,32,
581,2,47,45,
582,6,41,35,
583,0,41,41,
584,8,50,42,
585,5,39,34,
586,4,37,33,
587,2,35,33,
588,-4,30,34,
589,-1,37,38,
590,6,34,28,
591,7,32,25,
592,3,33,30,
593,6,31,25,
594,-15,23,38,
595,-6,29,35,
596,-14,23,37,
597,-5,33,38,
598,0,30,30,
599,-3,28,31,
600,-11,18,29,
601,6,31,25,
602,5,29,24,
603,6,32,26,
604,-9,25,34,
605,-10,20,30,
606,-8,24,32,
607,2,31,29,
608,-4,29,33,
609,-1,25,26,
610,-10,19,29,
611,-7,21,28,
612,-8,16,24,
613,-1,30,31,
614,-1,26,27,
615,3,27,24,
616,-1,22,23,
617,2,21,19,
618,0,25,25,
619,0,29,29,
620,9,29,20,
621,6,29,23,
622,3,21,18,
623,-12,17,29,
624,2,20,18,
625,8,27,19,
626,5,21,16,
627,-8,15,23,
628,-5,14,19,
629,3,15,12,
630,-17,17,34,
631,6,24,18,
632,-10,18,28,
633,5,21,16,
634,-6,19,25,
635,-8,14,22,
636,-10,12,22,
637,-6,17,23,
638,-2,19,21,
639,-3,22,25,
640,-7,15,22,
641,-2,15,17,
642,6,17,11,
643,2,17,15,
644,0,25,25,
645,3,21,18,
646,-9,17,26,
647,-1,15,16,
648,2,26,24,
649,-1,13,14,
650,3,17,14,
651,-1,23,24,
652,-2,19,21,
653,4,21,17,
654,3,22,19,
655,7,23,16,
656,-1,17,18,
657,-9,16,25,
658,-5,11,16,
659,-5,16,21,
660,-5,19,24,
661,-7,17,24,
662,-12,9,21,
663,1,20,19,
664,-6,15,21,
665,1,15,14,
666,2,17,15,
667,7,26,19,
668,5,15,10,
669,-1,17,18,
670,-6,13,19,
671,1,19,18,
672,-9,11,20,
673,-3,13,16,
674,-7,13,20,
675,3,24,21,
676,8,23,15,
677,5,27,22,
678,2,16,14,
679,-9,13,22,
680,5,17,12,
681,-8,9,17,
682,4,17,13,
683,-6,11,17,
684,-10,14,24,
685,12,26,14,
686,2,20,18,
687,8,20,12,
688,-7,12,19,
689,7,17,10,
690,3,17,14,
691,-4,11,15,
692,-7,16,23,
693,8,22,14,
694,9,22,13,
695,4,15,11,
696,-1,12,13,
697,-8,8,16,
698,3,19,16,
699,-3,9,12,
700,-1,10,11,
701,-4,16,20,
702,10,22,12,
703,-5,11,16,
704,3,14,11,
705,-7,13,20,
706,-3,10,13,
707,-3,9,12,
708,2,11,9,
709,-1,14,15,
710,4,20,16,
711,4,17,13,
712,8,20,12,
713,2,17,15,
714,-6,11,17,
715,-5,12,17,
716,4,15,11,
717,-9,7,16,
718,-2,12,14,
719,1,14,13,
720,-4,10,14,
721,-9,8,17,
722,-3,10,13,
723,-2,14,16,
724,5,12,7,
725,4,17,13,
726,0,5,5,
727,-6,12,18,
728,-3,8,11,
729,1,13,12,
730,12,19,7,
731,3,11,8,
732,-2,12,14,
733,3,12,9,
734,9,17,8,
735,-4,10,14,
736,2,15,13,
737,4,16,12,
738,0,10,10,
739,-4,9,13,
740,2,12,10,
741,-3,10,13,
742,-6,11,17,
743,-1,10,11,
744,1,14,13,
745,5,13,8,
746,-6,9,15,
747,9,20,11,
748,2,13,11,
749,-4,8,12,
750,-4,14,18,
751,-1,9,10,
752,0,11,11,
753,-5,7,12,
754,-4,10,14,
755,-1,9,10,
756,2,7,5,
757,-1,13,14,
758,2,12,10,
759,0,9,9,
760,5,13,8,
761,1,11,10,
762,1,9,8,
763,9,15,6,
764,-7,8,15,
765,-6,9,15,
766,5,10,5,
767,7,18,11,
768,8,17,9,
769,-12,6,18,
770,-7,10,17,
771,3,7,4,
772,-3,12,15,
773,-4,7,11,
774,-2,11,13,
775,-6,10,16,
776,-4,12,16,
777,9,19,10,
778,1,9,8,
779,-3,12,15,
780,4,14,10,
781,-1,10,11,
782,-1,10,11,
783,5,15,10,
784,1,8,7,
785,-9,5,14,
786,5,10,5,
787,2,11,9,
788,-3,8,11,
789,-6,4,10,
790,-1,11,12,
791,1,9,8,
792,6,11,5,
793,-2,11,13,
794,-3,11,14,
795,1,11,10,
796,-1,9,10,
797,-5,5,10,
798,4,10,6,
799,-2,8,10,
800,-2,9,11,
801,9,21,12,
802,-2,6,8,
803,10,15,5,
804,-5,12,17,
805,7,11,4,
806,5,12,7,
807,-4,11,15,
808,8,13,5,
809,2,12,10,
810,12,17,5,
811,4,14,10,
812,-2,9,11,
813,-3,13,16,
814,3,11,8,
815,1,9,8,
816,3,11,8,
817,-4,6,10,
818,0,8,8,
819,3,11,8,
820,4,12,8,
821,2,12,10,
822,-5,12,17,
823,6,16,10,
824,-8,6,14,
825,-1,13,14,
826,3,11,8,
827,-6,6,12,
828,1,15,14,
829,-1,20,21,
830,1,18,17,
831,-4,12,16,
832,-11,10,21,
833,0,11,11,
834,-2,13,15,
835,-1,11,12,
836,-1,12,13,
837,3,15,12,
838,-2,9,11,
839,-1,13,14,
840,-9,8,17,
841,-9,9,18,
842,10,19,9,
843,0,14,14,
844,1,12,11,
845,4,17,13,
846,1,13,12,
847,0,9,9,
848,-6,10,16,
849,2,22,20,
850,-5,12,17,
851,10,21,11,
852,5,14,9,
853,11,22,11,
854,11,19,8,
855,-6,8,14,
856,2,15,13,
857,-5,15,20,
858,-7,6,13,
859,-6,8,14,
860,3,13,10,
861,-7,14,21,
862,-1,8,9,
863,1,13,12,
864,1,15,14,
865,-6,9,15,
866,-7,8,15,
867,-1,17,18,
868,4,18,14,
869,0,15,15,
870,0,13,13,
871,0,6,6,
872,-5,10,15,
873,1,11,10,
874,-4,11,15,
875,-2,13,15,
876,5,12,7,
877,0,10,10,
878,-3,11,14,
879,-2,10,12,
880,-5,11,16,
881,-1,11,12,
882,-9,6,15,
883,0,10,10,
884,-1,7,8,
885,8,14,6,
886,0,11,11,
887,7,13,6,
888,-1,8,9,
889,-5,5,10,
890,0,8,8,
891,-4,9,13,
892,6,11,5,
893,1,7,6,
894,5,12,7,
895,5,12,7,
896,-3,5,8,
897,-1,10,11,
898,-4,6,10,
899,0,6,6,
900,0,11,11,
901,-1,5,6,
902,-2,6,8,
903,-3,4,7,
904,3,5,2,
905,3,8,5,
906,1,8,7,
907,-3,3,6,
908,3,8,5,
909,2,10,8,
910,2,5,3,
911,1,6,5,
912,3,8,5,
913,4,6,2,
914,3,8,5,
915,-1,6,7,
916,0,2,2,
917,-2,3,5,
918,-2,2,4,
919,2,4,2,
920,-2,1,3,
921,4,9,5,
922,-3,1,4,
923,-2,1,3,
924,4,6,2,
925,-2,4,6,
926,4,6,2,
927,0,2,2,
928,-1,3,4,
929,-4,2,6,
930,0,3,3,
931,1,3,2,
932,0,3,3,
933,3,3,0,
934,2,5,3,
935,6,7,1,
936,0,4,4,
937,-2,4,6,
938,-2,1,3,
939,-3,3,6,
940,-1,2,3,
941,-2,3,5,
942,7,8,1,
943,-4,3,7,
944,0,3,3,
945,-5,0,5,
946,-1,4,5,
947,-2,3,5,
948,2,3,1,
949,-1,4,5,
950,-1,3,4,
951,3,5,2,
952,0,2,2,
953,3,8,5,
954,0,3,3,
955,2,5,3,
956,6,8,2,
957,-1,5,6,
958,-2,5,7,
959,1,4,3,
960,-1,1,2,
961,-2,2,4,
962,-1,3,4,
963,3,6,3,
964,-1,2,3,
965,-2,0,2,
966,0,2,2,
967,-5,1,6,
968,0,5,5,
969,-1,5,6,
970,2,2,0,
971,0,6,6,
972,6,8,2,
973,2,6,4,
974,-2,4,6,
975,-1,4,5,
976,0,4,4,
977,-1,3,4,
978,-3,3,6,
979,4,5,1,
980,2,5,3,
981,0,3,3,
982,1,3,2,
983,-5,0,5,
984,-4,3,7,
985,3,3,0,
986,-6,1,7,
987,0,3,3,
988,1,1,0,
989,0,4,4,
990,-2,3,5,
991,-2,4,6,
992,-4,3,7,
993,2,4,2,
994,1,3,2,
995,-2,3,5,
