Channel,net Counts,Counts(w),Counts(wo),N=1.1586
683,2,112,95,
684,-13,114,110,
685,-21,99,104,
686,-18,96,98,
687,-9,116,108,
688,-34,91,108,
689,9,129,104,
690,16,126,95,
691,-24,94,102,
692,-18,89,92,
693,4,121,101,
694,-2,118,104,
695,21,117,83,
696,3,112,94,
697,-13,101,98,
698,7,102,82,
699,-2,105,92,
700,23,99,66,
701,-19,95,98,
702,5,93,76,
703,13,114,87,
704,-2,100,88,
705,10,98,76,
706,6,89,72,
707,-7,93,86,
708,17,115,85,
709,-2,84,74,
710,7,88,70,
711,16,101,73,
712,-10,83,80,
713,18,97,68,
714,15,103,76,
715,1,87,74,
716,-9,76,73,
717,-25,77,88,
718,-13,74,75,
719,-3,83,74,
720,32,92,52,
721,1,87,74,
722,-6,76,71,
723,58,103,39,
724,19,87,59,
725,5,79,64,
726,-1,65,57,
727,9,76,58,
728,-10,68,67,
729,7,74,58,
730,-2,68,60,
731,11,79,59,
732,20,81,53,
733,-11,69,69,
734,-7,61,59,
735,-15,70,73,
736,-15,61,66,
737,10,62,45,
738,7,75,59,
739,17,73,48,
740,-4,68,62,
741,-12,58,60,
742,23,77,47,
743,-2,49,44,
744,-8,67,65,
745,-1,63,55,
746,-3,62,56,
747,15,74,51,
748,-21,43,55,
749,-18,46,55,
750,2,60,50,
751,8,62,47,
752,-4,49,46,
753,-10,49,51,
754,1,52,44,
755,-17,59,66,
756,-3,56,51,
757,-15,45,52,
758,-2,55,49,
759,18,69,44,
760,21,66,39,
761,-15,48,54,
762,-2,56,50,
763,-11,53,55,
764,-9,43,45,
765,-6,42,41,
766,3,52,42,
767,-9,48,49,
768,9,47,33,
769,-6,57,54,
770,-1,45,40,
771,0,41,35,
772,4,57,46,
773,16,61,39,
774,0,45,39,
775,-15,48,54,
776,6,55,42,
777,-16,42,50,
778,10,46,31,
779,10,46,31,
780,-8,41,42,
781,10,51,35,
782,-10,39,42,
783,-10,26,31,
784,-9,42,44,
785,-3,47,43,
786,3,46,37,
787,5,50,39,
788,6,59,46,
789,6,50,38,
790,16,52,31,
791,3,44,35,
792,-8,53,53,
793,-6,42,41,
794,4,47,37,
795,11,46,30,
796,4,47,37,
797,-4,48,45,
798,-5,48,46,
799,12,54,36,
800,1,50,42,
801,-11,45,48,
802,2,40,33,
803,5,44,34,
804,3,48,39,
805,-3,49,45,
806,-6,50,48,
807,-5,47,45,
808,3,53,43,
809,6,48,36,
810,11,63,45,
811,7,66,51,
812,6,55,42,
813,-11,49,52,
814,4,55,44,
815,4,54,43,
816,9,61,45,
817,-1,59,52,
818,2,56,47,
819,-7,50,49,
820,14,59,39,
821,16,68,45,
822,-15,50,56,
823,-5,71,66,
